demand_heat,heat_pump
-2.927,2.927
0.0,0.0
0.0,0.0
0.0,0.0
-1.927,1.927
-27.964,27.964
-32.709,32.709
-15.818,15.818
-27.673,27.673
-17.6,17.6
-13.673,13.673
-9.855,9.855
-21.382,21.382
-31.454,31.454
-14.891,14.891
-9.855,9.855
-17.964,17.964
-13.818,13.818
-21.927,21.927
-21.527,21.527
-20.6,20.6
-18.745,18.745
-4.891,4.891
-9.673,9.673
-0.964,0.964
0.0,0.0
0.0,0.0
0.0,0.0
-1.0,1.0
-26.0,26.0
-30.709,30.709
-14.927,14.927
-19.527,19.527
-23.891,23.891
-13.818,13.818
-22.636,22.636
-19.782,19.782
-16.6,16.6
-30.782,30.782
-13.782,13.782
-19.673,19.673
-18.782,18.782
-36.418,36.418
-25.491,25.491
-21.6,21.6
-7.891,7.891
-1.0,1.0
-7.782,7.782
0.0,0.0
-1.964,1.964
0.0,0.0
-0.964,0.964
0.0,0.0
-32.927,32.927
-36.782,36.782
-26.673,26.673
-26.273,26.273
-11.855,11.855
-18.782,18.782
-14.855,14.855
-15.709,15.709
-12.745,12.745
-20.709,20.709
-18.927,18.927
-9.891,9.891
-10.818,10.818
-20.818,20.818
-22.491,22.491
-34.054,34.054
-17.709,17.709
-0.964,0.964
-3.855,3.855
-0.964,0.964
-0.964,0.964
0.0,0.0
-2.0,2.0
-0.964,0.964
-17.0,17.0
-28.673,28.673
-12.818,12.818
-23.745,23.745
-13.709,13.709
-28.491,28.491
-14.818,14.818
-14.745,14.745
-24.636,24.636
-20.709,20.709
-9.927,9.927
-15.818,15.818
-12.855,12.855
-19.891,19.891
-26.382,26.382
-22.709,22.709
-12.782,12.782
-3.927,3.927
-3.855,3.855
-2.927,2.927
-0.964,0.964
0.0,0.0
0.0,0.0
-0.964,0.964
-15.964,15.964
-21.964,21.964
-23.564,23.564
-37.527,37.527
-26.673,26.673
-13.673,13.673
-20.527,20.527
-14.636,14.636
-17.454,17.454
-35.527,35.527
-6.964,6.964
-10.855,10.855
-15.673,15.673
-24.709,24.709
-18.709,18.709
-30.164,30.164
-12.673,12.673
-17.345,17.345
-1.927,1.927
-1.964,1.964
