demand_heat,district_heating_industry
-71.884,71.884
-49.512,49.512
-70.281,70.281
-77.537,77.537
-56.512,56.512
-60.281,60.281
-57.653,57.653
-45.397,45.397
-42.769,42.769
-27.884,27.884
-63.165,63.165
-34.769,34.769
-65.537,65.537
-62.165,62.165
-36.256,36.256
-57.537,57.537
-27.653,27.653
-15.512,15.512
-14.512,14.512
0.0,0.0
0.0,0.0
-1.0,1.0
-1.0,1.0
-27.628,27.628
-83.653,83.653
-56.769,56.769
-80.421,80.421
-85.793,85.793
-72.281,72.281
-41.628,41.628
-40.512,40.512
-53.909,53.909
-51.769,51.769
-52.025,52.025
-26.628,26.628
-39.397,39.397
-48.397,48.397
-69.421,69.421
-58.537,58.537
-32.884,32.884
-14.884,14.884
-28.281,28.281
-3.0,3.0
-2.0,2.0
-2.628,2.628
-2.628,2.628
-2.628,2.628
-34.884,34.884
-77.397,77.397
-40.0,40.0
-38.0,38.0
-40.0,40.0
-53.769,53.769
-53.769,53.769
-63.909,63.909
-42.14,42.14
-62.421,62.421
-29.256,29.256
-34.512,34.512
-32.512,32.512
-58.537,58.537
-42.025,42.025
-64.793,64.793
-56.909,56.909
-20.397,20.397
-13.512,13.512
-3.0,3.0
-4.628,4.628
0.0,0.0
-2.628,2.628
0.0,0.0
-32.628,32.628
-53.0,53.0
-65.653,65.653
-69.909,69.909
-68.653,68.653
-76.165,76.165
-45.512,45.512
-78.049,78.049
-52.909,52.909
-50.769,50.769
-31.512,31.512
-29.884,29.884
-36.769,36.769
-58.793,58.793
-67.421,67.421
-32.512,32.512
-50.281,50.281
-22.769,22.769
-12.884,12.884
-3.628,3.628
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-33.628,33.628
-56.256,56.256
-43.256,43.256
-60.653,60.653
-73.793,73.793
-66.909,66.909
-53.14,53.14
-61.537,61.537
-76.677,76.677
-42.14,42.14
-39.397,39.397
-45.653,45.653
-36.884,36.884
-48.653,48.653
-58.165,58.165
-34.512,34.512
-44.14,44.14
-25.025,25.025
-18.14,18.14
0.0,0.0
0.0,0.0
-2.628,2.628
-4.628,4.628
-3.628,3.628
-32.628,32.628
-78.769,78.769
-62.769,62.769
-59.512,59.512
-66.653,66.653
-51.884,51.884
-52.14,52.14
-56.025,56.025
-56.025,56.025
-48.397,48.397
-36.256,36.256
-33.884,33.884
-31.884,31.884
-37.14,37.14
-51.653,51.653
-39.512,39.512
-34.256,34.256
-8.256,8.256
-9.628,9.628
-7.256,7.256
-1.0,1.0
-2.0,2.0
0.0,0.0
-5.256,5.256
-30.628,30.628
-71.14,71.14
-62.14,62.14
-69.653,69.653
-67.397,67.397
-68.653,68.653
-53.512,53.512
-77.793,77.793
-69.421,69.421
-42.884,42.884
-41.512,41.512
-28.628,28.628
-41.14,41.14
-33.256,33.256
-62.537,62.537
-49.909,49.909
-45.397,45.397
-16.884,16.884
-27.653,27.653
-4.628,4.628
-1.0,1.0
-1.0,1.0
0.0,0.0
0.0,0.0
-26.0,26.0
-80.025,80.025
-53.256,53.256
-79.165,79.165
-52.884,52.884
-55.14,55.14
-71.281,71.281
-50.769,50.769
-52.025,52.025
-48.769,48.769
-46.769,46.769
-50.653,50.653
-48.769,48.769
-66.909,66.909
-52.653,52.653
-44.769,44.769
-35.884,35.884
-2.0,2.0
-22.769,22.769
-1.0,1.0
-3.628,3.628
0.0,0.0
-3.628,3.628
0.0,0.0
-32.256,32.256
-82.769,82.769
-70.653,70.653
-92.306,92.306
-51.512,51.512
-63.769,63.769
-48.512,48.512
-60.025,60.025
-52.397,52.397
-37.512,37.512
-40.256,40.256
-36.884,36.884
-47.14,47.14
-37.14,37.14
-68.165,68.165
-85.19,85.19
-51.025,51.025
-6.628,6.628
-11.512,11.512
-5.628,5.628
-3.628,3.628
-1.0,1.0
0.0,0.0
-2.628,2.628
-28.0,28.0
-91.653,91.653
-57.14,57.14
-58.397,58.397
-66.025,66.025
-65.653,65.653
-49.14,49.14
-49.397,49.397
-46.769,46.769
-55.025,55.025
-27.256,27.256
-40.14,40.14
-37.512,37.512
-33.884,33.884
-66.049,66.049
-47.025,47.025
-40.769,40.769
-8.256,8.256
-15.512,15.512
-6.256,6.256
-3.628,3.628
-1.0,1.0
-1.0,1.0
-2.628,2.628
-26.628,26.628
-55.628,55.628
-70.281,70.281
-77.165,77.165
-62.653,62.653
-69.653,69.653
-69.281,69.281
-58.281,58.281
-73.421,73.421
-64.165,64.165
-29.628,29.628
-38.512,38.512
-53.653,53.653
-51.025,51.025
-49.025,49.025
-43.14,43.14
